"","text","sentiment"
"589"," bos anak buahhaluu ",1
"590","ih lucu deh pengin berenang genangan",1
"591","kye ki jere sekdane",1
"592"," prodi nih manajemen air",2
"593","ya boomer",2
"594","anjiiirrr",1
"595","sg ngomog umahe drung tau kebanjiran kayane ora mengerti rasane beres umah bar kebanjiran",1
"596","kwe sedot pompa banyune buang kono ben ngrasakna",1
"597"," sedih ya bacanya",1
"598","orang cocoknya jual bulat ketopraksekelas sekda bicara kayak orang kesurupanngaworrr n pol",1
"599","gue bermasalah wanbacot eeh alas kaki nya parraah kalo die sadar ucapannya bani laron mengelola air banjir tamparlah pipi wkwkwkwkkk",1
"600"," air tubuh air banjir",2
"601"," banget perangkat bodohnya ",1
"602","loh heh ",1
"603"," map map nih ya besok kalo bpk disiram air diludahi orang marah ya tubuh bpk mengandung air",1
"604"," lihat pernyataan aslinya deh mantaplah pokoknya",2
"605","kayaknya sekda dki",2
"606"," cebong cebi barisan sakit hati ngumpul",2
"607","iya kali luarbiasa",2
"608","bosnya pintar omong anak buahnya mengomong cocok meong",1
"609","kebodohan mutlak ",1
"610"," air banjir diminum wakwak",2
"611"," - seiman orang jakarta menderita ya ",2
"612","trimakasih pengendali air",2
"613","kalo deh dikomentari banjir dinikmati ",2
"614","quote nya salah ",2
"615"," ajaibnya sono",2
"616"," kalo diundang acara matanajwa biar seru nih sekda bicara air",2
"617"," langit sore berwarna biru sebiru hatiku",2
"618","menikmati apanya gua kerja woiii pns enak diliburin gaji utuh mikir orangmah anggap enteng",1
"619"," menteri pejabat daerah mengeluarkan statement an asbun",1
"620","palalu menikmati",1
"621","cakep pantun nya",2
"622"," menikmati banjir tutorial nya",2
"623","kasihan warga dki suruh menikmati air comberan",1
"624"," disleding nih komentar dki ckckckckck",2
"625","besok meteor jatuh dinikmati ",2
"626","sih khinthil bacot goblek",1
"627"," malaah ngawur",1
"628","bgst hhhh",1
"629","bahaahha biar kayak netizen sob",2
"630","jah segoblokgobloknya kepikiran larinya kesitu",1
"631","matamu menikmati bnjir nikmatinenak kali bapa kalo bicara tuh",1
"632","hhhaaa",2
"633","logo designflyerbannerbrosurkatalogposterstationarycompany profileetc",2
"634","semoga rumah kebanjiran ujan ya ",2
"635","aka indonesia darurat membaca",2
"636","besok rumah dinas gubernur pejabat model dipindahin kelapa gading biar menghayati kena banjir sebulan kali",1
"637"," jaman ahok parah banjir nya sok air tinggalkan orang asli jakarta mah ngeluh ",2
"638"," urusan wagub ",1
"639","penjilat setia atasan bodo kebanjiran harta bendanya hanncur terdampak banjir air kotor",1
"640","hhahahahaha gedek judul brta nya terbayarkan baca komen netijen bikin mengakak",1
"641","tubuh isinya air banjir ya",2
"642","wkwk",2
"643","kau enak rakyat kena banjir coba sih acara tv tukar kehidupan biar merasai",1
"644","komentarnya bego banget ya kayak orangnya bego",1
"645","peralatan rscm terendam banjir aduh",1
"646","mentriaduh ku teriakkktempeeee",2
"647","aka blok",1
"648"," mati banjir disuruh nikmati ya ckckck",1
"649"," betah ya warha jakarta dipimpin pejabat inijakarta orang berkelas malu",1
"650","ludahin ya kalo ketemy",1
"651"," berkualitas",1
"652","sekda gaberner",1
"653","anjir minum air banjir nya",1
"654","berakkk",1
"655","menunggu alasan pembela anies ",1
"656","oh begituuuuuu baiq semoga merasai kebanjiran dokumen hanyut barang rumah hanyut empati mulutnya sinkron otaknya",1
"657","mengomong menikmati gampang makhluk rumahnya kena banjir mudah an merasai kelelep banjir biar tau kalo manusia air berkembang biak diair",1
"658","bayar pajak ya warga dki biar gaji orang tolol ",1
"659","ombeo bang t",1
"660","wkwkw apaansi anjir",2
"661"," warga disuru avatar",2
"662"," presiden disyukurin ",2
"663"," president disyukurin enak korupsi viralnya angetnya teralihkan harun masiku bersyukur masak indak",1
"664"," hubungi nya air tubuh banjir bambang",2
"665","peliharaan gubernur dilepas awas galak goblok",1
"666","wkwkwkualitas menentukan",2
"667","dungunya total orang kayak sekda dkipantesan jakarta ambyarancur",1
"668","parah mdh n lolos cpns kayak jalan pikiran omonganya kedepan parahhhhh",1
"669","hahahahah kampret oon nya berlebih",1
"670","kampret memilih ",1
"671","otaknya sederhana",1
"672","sikat bil wahaha",2
"673"," menikmati anak main air rekreasi air",1
"674","sekda terbaek",2
"675","ramashookkk sepulloh",1
"676"," ikutan miring om",1
"677"," rasakan banjir dki pindah planet ngumpet goa",1
"678","sekda omonge jeplak koyo duwe utek",1
"679","oalah duancok",1
"680"," sekda kalo bikin pernyataan seenak jidat",1
"681"," lo gaji anjay guoblok nya deh kronis nieh orang menghadapi musim becus musim mampus pemerintahan orang kayak lo gorong gorong dumb raksasa malaysia apbd buka foya foya",1
"682","bodoh",1
"683","bangsat",1
"684"," kebanjiran menikmati kebanjiran menikmati",1
"685","gigi lo dinikmati ",1
"686"," hubungan nya banjir tubuh ",2
"687","hahah sadis om",1
"688","blokkkkk",1
"689"," iklan ",1
"690","bolehnya ",2
"691","jancok",1
"692","enteng banget",1
"693"," air tanah dialirkam laut",2
"694","aquaman",2
"695"," tubuh airtapi air kali kali ",1
"696"," bahasanya terenkripsi tersirat",1
"697","jakarta kolam renang terbesar seindonesia",2
"698","muka lo gaenak",1
"699","asu tnan mbacotee",1
"700"," cerita religi",1
"701","endollll ya mengomong kayak ngludahenteng bangetbesok diludahin malaikatmlonyoh lambemu",1
"702","gue projokowi suka kritik menteri contohya menteri agama sri mulyani suka pajak ",1
"703","that sih not the point sir",2
"704","gelonggong",1
"705","kalo kasih kesempatan mengatasi banjir ya silakan bilang dinikmati air kotor masuk rumah akses jalan terhalang aktifitas terganggu nikmati ",1
"706","kasihan menanggung dosa atasannyaklu mundur oon terpapar ",1
"707"," pendukung pemilihnya",1
"708","salah contoh pns gobloknya ",1
"709","berat dalem banget",1
"710","danial mangkat bajul forget bareng yuk",1
"711","zaman pelawakyang pelawak serius",1
"712","aka menteri bacanya minum amer",1
"713","dinikmati gia akut",1
"714","wis podo edane podo kocloke podo pengunge",1
"715","brk sekebon",1
"716","iya manajemen air buruk",1
"717"," jaman nya banjir sesering jabatan nya jakarta jarang banjir",1
"718","hakan weh ku sia",1
"719"," ku teriaaak~~",2
"720","tonjok tonjoook",1
"721","kompor lu bal wkwk",1
"722","kebanyakan minum air kobokan",1
"723","goffaralmubarok wkwkwk an berbalas an disinu",1
"724"," palanya gue lelepin danau sunter ",1
"725"," rasai tailalatnya dicabut paksa ya",1
"726"," bilang tahi ya",1
"727","hahahaha iyo nikmati banjir",2
"728","tinggal mengakui jujur kinerja manajemen beliau buruk diperbaiki gercep mencegah mengantisipasi sulit banget ngelessnya sanasini",1
"729","hati duk",1
"730"," nympe sni nihplg sandal pakai",1
"731","terpaksa menikmati aslinya sih stresss berat mirisssss",1
"732","pengin disengkat orang sekecamatan",1
"733","goblok nya kompak berkesinambungan solusi cerdas waras top pokoknya",1
"734","jawa barat jarang banjir banjir parah anies ridwan kamil dipanggil dpr kaliini amdalnya kacau",1
"735"," meninggal banjir cuk",1
"736"," kena banjir sih air doang aspal nya ketebelan sih air nya susah meresap",1
"737","sih",2
"738","pintar lo io",1
"739","makan gaji buta",1
"740","pengganti ion",2
"741","pingen banget nampol pakai tahi",1
"742","bpk tidur jam kali ",1
"743","",2
"744","media oh media",2
"745"," saudara meninggal banjir nikmati nikmati biji matamu meletup evaluasi ente blok",1
"746"," abang bor mengajari hahahaa",2
"747","sabar ya sekda tuntutan kerjasmoga entar ganti pimpinan ",1
"748","wowamazing",2
"749","tau perilaku nabi mulia tiru barisannya gabener mantan napi bacotnya melebihi sampah",1
"750","lhaaa nak tenan hahahaha hilang akal ",1
"751"," banjir diminum bang wwkwk",2
"752","wkwkwkwk orang bela",1
"753","why sok stupid dude",1
"754"," ente barisannya ya",1
"755","aduh lemes aing cuk",1
"756","tengelemin yuk laut rame",2
"757","dinikmati matamu a",1
"758"," tinggal laut air",2
"759","lo pikir air minum saepullll saeepuullll jangann kau minum air saepull ku bilang berkali",1
"760","mengomong ngeles gampangcoba hitung kerugian ekonomimati listrikyg usaha gimanarumah isinya rusakduit apbd gede prioritas utamakan",1
"761"," hamili wkwkw",2
"762","lu nikmati gua mah ogah",1
"763","seandainya mentri konoha kena rasenggan naruto",2
"764","mestinya rumahnya banjir rasai banjir bolak ya nikmati",1
"765"," pemikiran dangkal memiliki jabatan sekda beli jabatannya kali ya",1
"766","menikmati kolam renang",2
"767","tolok",1
"768","kleng beneh nok",1
"769","manajemen air",2
"770","ijazahnya mungut tong sampah makannya otaknya ",1
"771","lucunya",2
"772","paok",2
"773","sekdamu mengomong otaknya mikir dulukayaknya atasannya sih sekda",1
"774"," bingung kehabisan katakata pembelaan terkesan pekoknya kebangetan hoalaah",1
"775","hahaha",2
"776","pejabat jakarta luculucu ya tuh habis dipecat komika",1
"777"," manajemen airnya bagus om",1
"778","bagus nularr bawahan berartiiawowiw",1
"779","dasaaar p a",1
"780","bhaiqq tubuh pertiga air banjir dinikmati kerjangantor ya bayarin kebutuhan ",1
"781","sorayya pakai bahasa indonesia indonesia",1
"782","well said",2
"783"," kayak timnya presiden indonesia setuju cung hahahaaha",1
"784","agam",1
"785","goreng ",2
"786"," cebong kadrun miris netizen mentah krg literasi digitalnya baca judulnya doang sepotong tidaks mohon diasah critical thinking nya ya",1
"787"," malu ya mengomong ",1
"788","hahahah jancuuk",2
"789","bapakmu beb",2
"790","yaudah hanyut ",1
"791","kayake butuh disetrum ditengah banjir wkw",1
"792","wakakakakak ambyar",2
"793","wkwk pekok",2
"794","badan isinya air bersih air banjir kayak ",1
"795","wkwkwk mbak lia",2
"796","koruptor",1
"797","pemilihan fotonya jenius this man has zero liquid his brain",1
"798","hahahaha",2
"799","pembela asbun dibela hancur",1
"800"," bego bagus sih bapa",1
"801","serumah ",2
"802"," terbiasa air air mata ",1
"803","goblok permanen dampak kebanyakan duit haram lu ",1
"804"," first blood savage pakai nana ya ",2
"805"," aslinyeee",1
"806","jilat sukses",1
"807","otaknya kebanjiran ya",1
"808","coba tuker posisi rakyat kebanjiran rasakan kerugiannya adab bahasa manusiawi",1
"809","aka utamakan membaca",2
"810","iya ",2
"811","lahhhterus air banjirnya diminum gituuntukmemenuhi kebutuhan tubuh",1
"812"," pembelaan masuk akal pemikiran habis pemikiran menyimpang tema",1
"813","bego",1
"814","mantabbb sekda bentuk syukur allah swt beda orang bersyukur pendatang berterimakasih allah alam jakarta konturnya ",1
"815","epic",2
"816"," saeful mencoba dilelepin selokan",1
"817"," korelasinya",2
"818"," kalo kena banjir nikamatin manajemen air tubuh air",1
"819","isinya ",2
"820","terserah warga jakarta betah silakan demo habis an",1
"821"," rumahnya dimana besok banjir airnya dipompa buang rumah ya",1
"822","biarkan cebong berenang kelelep",1
"823","mantap",2
"824","minum tuh air kembung",1
"825"," hidup air ",1
"826","kepala kau",1
"827","whaaattt",2
"828","indonesia krisis orang intelekyg intelek berenang hamilskrg banjir manajemen air",1
"829","ampyunsebagai orang dewasakalimatnya buruk ",1
"830"," empati samsek",1
"831","umm avatar",2
"832","njingbangsatdisuruh minum air banjir kebanjiran",1
"833","ketularan effect pemerintah pusat ",1
"834"," menyalahkan anies kocak coba lihat kebelakang deh joko bilang banjir jakarta mudah diatasi presiden kacrut banjir teratasi banjir utang",1
"835"," kayak nya hobi",2
"836","sinting kalo benaran argumennya kayak ",1
"837","jenius sekda dki ",1
"838","sekda dki saefullah dipecat sekda intrik nyentrik",1
"839","sok membela takut mutasi",1
"840","cangkemannnn",1
"841","ih statmentny mengundang ntuk bully bngeettt",1
"842"," pinten banget ya goblok",1
"843","gobloo",1
"844"," orang jakarta gregetan dengar sekda ngawur statementnya",1
"845","too lol",1
"846","dinikmati coba sekda korban banjir semoga enak",1
"847","dad jokes gone wrong",1
"848","dibayar mahal ngatasi doangkasihan rakyat kumpulin duit pajak bayar lu",1
"849","maaf bong kesinggung",2
"850","sabar ya jakartans",2
"851","kayak nya mending deh pimpin jakarta zaman orang waras zaman orang sekelas pejabat negara wars ",1
"852","aduh takut wkwkwkw kabur ah",2
"853","siaaap fir",2
"854","enteng lidahnye pengin gue bedel bilang banjir suruh menikmati ajeya ampun",1
"855","war malu",1
"856","suruh dinikmati solusi ",1
"857","politisi hobi banget ngluarin pernyataan berbuah ",1
"858","daerah pompa nyala",2
"859"," sekolah gerbang langsung masuk pulang kayak hasilnya sedih akutuh ucapan pejabat terhormat",1
"860","cakep dinikmati bikin hamil kalo airnya sekolam nikmat dustakan",1
"861","airnya mengantri kakak",2
"862"," tuh cerdas",1
"863","dipikirpikir otak penjabat air banjir ternyatakarena otaknya mampetpikiran omongnya mengalir meluber kemanamana kagak karuan",1
"864","wkwkwkwkwkwkwkwkwkwk",2
"865","kagak sekolah nih orang",1
"866","kebanyakan minum air banjir",2
"867","aka nih luas wawasannya",1
"868","kalo bogortolong kirim banjirnya kantor gubenur kantor orangklo kerumah nya biar merasai capuchino",1
"869"," orang lulus pns malu banget negara ya rabb",1
"870","sungguh nikmat kau dustakan manusia hina wkwkwkw kocak banget deh gubernur kelean",1
"871","manajemen air kehendak tuhan masuk tanah ayok alasan ",1
"872","naon sih",1
"873","hahaha kegoblokan diikutin tae",1
"874","nya tompel",1
"875"," nabi hidupnya sibuk mengislamkan orang lu orang islam dikafir kafirn dasar sampah",1
"876","sorayya ngaeurnya dimana",1
"877","ah ",1
"878"," kasihan sekda sehat pensiun sekda ikutan audiai standup comedy ",1
"879","untung warga jktngak rela bayar pajak gaji pejabat sengsara suruh menikmati",1
"880","yaamplop wes pikiren dewe",1
"881","subhanallah cerdas banget",1
"882","star",2
"883","jakarta prediksi tenggelam tinggal jakarta tenggelam perlahan terbukti banjir setahun sebulan berkali kali yuk sadar bencana bijak alam berhenti menyalahkan bijak alam",2
"884","lucu lucj komentarnya",2
"885","anjay",2
"886","goblok",1
"887","sekte ubur ubur",2
"888","menikmati mikir anggaran dikeluarkan banjir banjir coba otaknya dipakai lo digaji rakyat semena loh",1
"889","kalo pemimpin pintar bawahan terbawa pintar gue tuh orang bagus tetangga gue asbun hahaha",1
"890"," benarsaat bawahan kadrunfungsi otak segede upil auto shut downnalar logika mati total",1
"891","ngeles tingkat dewa",2
"892","begonya akurat",1
"893","kayaknya orang lapangan dijadikan juru bicara gubernur kena psikisnya bikin statment halu ",1
"894"," loh guru fisika muncul",2
"895","makan tuh air",1
"896"," air tubuh bikin kehilangan kesempatan cari rezeki sih",1
"897","namanya orang bodoh bray solusi penuh komedi",1
"898","hhhh cerdas banget gue mengerti",1
"899","managemen air tubuh air indonesia air bumi dabgiannbesar air obok ketemu air",1
"900","yakkodong",1
"901","rela bayar pajak gaji pejabat kayak ",1
"902","hubungannya haruss ya perbandinganya malu didenger orang heduhhh",1
"903"," pejabat publik peduli masyarakatnya memikirkan yakok orang pejabat publik",1
"904","twitter day wkk suka insecure lihat ig hha",2
"905","wow mantap baiq ",2
"906"," main gading ayo menikmati air",1
"907","bapeeeeettttt",1
"908","gubernurnya pintar anak buahnya ya pintar ",1
"909","gurunya gendeng muridnya sableng",1
"910"," nih nih",1
"911","sumpah menteri mantap",1
"912","otaknya kerendem air kali ya gesrek ",1
"913","give him standing ovation",1
"914","mentang bego dipakasa bego pura bego",1
"915","bumi air dinikmatin ",2
"916"," solusi sangaat leadership",1
"917","bawahan sih mmpin wkkwkw pimpinannya kayak ya bawahannya segan ngikit pmimpinnya hehe",1
"918"," seiman ya",2
"919","mantap lanjutkan",2
"920","avatar water vender",2
"921"," cemen air takut",2
"922"," gaji tertinggi asn dki kesini ya gajinya",1
"923","asd",2
"924","woooyyy warga jakartaaa selamat menikmati banjir ya",2
"925"," kaum gay mission completed",2
"926","jalankan terbaik amanah negara orang cerdas mensupport visioner",1
"927","ayo nikmati siniii",2
"928"," pertiga tubuh kebencian ",1
"929","jaka sembung ih",1
"930","kak indak menyambung pembahasan hahaha",1
"931","atasan berpengaruh bawahan nya gan setau ane",1
"932","selamat menikmati mantap memilih anies ngacung ",1
"933","manajemen perairan ye kocak nih muncung nyab",1
"934","ya dinikmati kokenak rumah kau kena rumah wwarga susah kena banjir nikamti lo mata lu harga benda habis rumah kotorkerja keganggudll bilang nikmati wes fix era anis pejabat ketularan virus pintar nyapnyap kosong",1
"935","",2
"936","i have come realize that good things doesn't come easily and good people always come after the bad one has left all thanks for helping me trade just bitcoin investment this got me tripping and i have decided thank him openly help me thank him feel free trade with him",1
"937","tolol",1
"938"," should watch mata najwa episode kemarin deh",1
"939","orang berijasah orang berpengalaman beda bro sdm manusianya",1
"940"," bijak komentar wawancara kebanyakan ngelem jdinya gue tenggelem kepalanya dibanjir seprti ",1
"941","hah dinikmati",1
"942","coba klik link bio baca konten berita cuman judul slide",2
"943","bak mandi gua isinya air manajemen nya bagus tuh penuh ya dimatiin",1
"944"," banjir tahunan sekalo skranga kali sebulan bu hahaha",1
"945","astaga mengomong kali tuh loh rumah kali kalo kena banjir nginap hotel mkan enak uang rakyat hidup garis kemiskinan banget kali krj mengoceh jlas payah",1
"946"," hubungannya air tubuh banjir untung dikaitin tsunami",1
"947","giman gadenger ",2
"948"," cai kolomberan oge bambank",1
"949","ya rumahnya pengin tenggelam biar nikmati ",1
"950","omah e sekda kebanjiran pora iso omomg nikmati",1
"951"," kadar air ",2
"952","banjir salah anies salah air air menyebabkab banjir anies",2
"953","you re hiring a totally wrong person",1
"954","perasaan sekda jaman ahok kalem bae kerja era sih penis goblok ngebacot banget ya",1
"955","hadehhh",1
"956","memasukkan bir singaraja om",2
"957","menyambung ",1
"958","anjir dinikmati ketiban musibah bencana alam basah mah tolong kinerjanya menanggulangi bencana action berkelas sekedar berceloteh ria layaknya pimpinan sekda jancok",1
"959","dasar faktor kasihan",1
"960","sih kayanya kebanjiran korban banjir mengomongnya nyelekit banget kagak nikmat bobo",1
"961","ok komentar intinya selesai",1
"962","alah mengharap cuk slesain smuany haha",1
"963","buntut mah kepalanya",1
"964","komentar bicara kali",1
"965"," ya pejabat dki cerdas ",1
"966","kayak anies kunjung redam banjir hahahha",1
"967","haha lucu banget statemen bapa ",2
"968","tau kau hubungannya boy nainggolan",1
"969","nahini persis bacot buzzerp coba membaca pakai analisa dikit laah",1
"970","barang elektronik tvkasurkipas sayangnya mengandung air sayanya terima kalo banjir barang dirumah terima",1
"971"," gubernurnya gampang mengurus banjir jakartaapalagi ngurusnya menikmati musibah banjirpdhl nyawa melayang dampak musibah menikmati solusi mahal bayar pejabatternyata krjanya hobi ambil jalan pintas mikir keras",1
"972","hahahaha buta ",1
"973"," type orang mengomong menonton porno menyambung otaknya",1
"974","tubuh air banjir",2
"975"," masyarakat jjg paham fenomena banjir nilai kinerja manajemen kerja pemprov dki banjir kalo rakyat lihat kerja mengerti rasatdk pintar bicara ",1
"976","blokkkk",1
"977","menunggu tulisan mas",2
"978","aka jangn kebanyakan main game dek belajar rajin",1
"979"," gobloknyayang seiman",1
"980","kalo makan paya bersih ngelapnya sih bijinya ktinggalan",1
"981"," mengeluh orang jakarta orang lemah n belajar warga kota surabaya terkena banjir rumah sakit terendam warga suport walikotanya soale surabaya iku kuat cuuukk",1
"982","f kalimat gue sensor",1
"983","buzzerp periode",1
"984","didalam tubuh air kalo ditmbah air banjir ente",1
"985","jos ",2
"986","bapa ikan",1
"987","sabar cuk hahaha",2
"988","seumur hidup gue dengar manjemen air saeful saeful",1
"989"," ah takut bwa bego",1
"990"," dark comedy kabs",2
"991","palalu menikmati kimak",1
"992","dinikmati enak banget ucapannya",1
"993","santuy enjoy the party",2
"994","makanan kali ah nikmati",2
"995"," heboh hamil berenang disusul nikmati banjir sepertiga tubuh manusia air goodjob prof",1
"996","mantaaapppppppppppppppp",2
"997","wkwoowkwkwkwkwk dikata gua ubur hbur",2
"998","nikmati airnya kotorannya penyakitnya ",1
"999","air tubuh gue mahal bos ribu galon",2
"1000"," nikmati main perosotan main tiktok banjir viral ya olah sepele ya warga jakarta sih heran ",2
"1001"," protes orang dki commuter anggota busuk hati dki an kalo orang asli an tinggal dki ya mengerti dki menginjak tanah betawi kali paruh enam malari",1
"1002","sumpah begonya",1
"1003"," jarang ig ih",1
"1004","aowkaokwoakwoakwokaowkaok",2
"1005","spontan uhuuuyy",2
"1006","blok",1
"1007"," beginih pejabat bagusan bibik bibik rumah otaknya jalan",1
"1008"," pejabat pejabat suka cari perhatian media pakai aneh",1
"1009","kalo orang kudu bersyukur kalo cari nafkah belagak bego ",1
"1010","blok kesel aink",1
"1011"," gue ambilnya kuliah manajemen ekonomi ambil manajemen airmenyesaalllll",1
"1012"," seiman gaes",2
"1013","ho oh",2
"1014","indak menyambung ndull",1
"1015"," ",1
"1016","aiihternyata tau",1
"1017"," edan",1
"1018","diluar jakarta banjir bnhkan parah jakarta jaman bang ben banjir bagusnya banjir sore kering bersyukur lindungi virus corona hujan berpendapat ",1
"1019","yaampunnnn plisslahh bully anis melulu capek ngelike",1
"1020"," paham cil",2
"1021"," orang lierke blenger sking pinternya",1
"1022","oke mantaaaap",2
"1023","tolong kpk pantau rumah nih orang",1
"1024","astaghfirulloh",1
"1025","heheh melawak nih",2
"1026","manajemen air maksdnyafucku",1
"1027","iya selesaikan banjir jakarta presiden sabar ",1
"1028"," isi otak orang gaji pakai uang rakyat ya",1
"1029","coba rumah nya kebanjiran meter kali harimasih mengomong hati nurani",1
"1030","pernyataan sekelas sekda recehan banget",1
"1031"," korban jiwa gara banjir miskin gara banjir dinikmatin ",1
"1032","gila",1
"1033","wkwkwkkkk cebong komen korban banjir sakit hati anis lapaknya alexis tutup proyek pinokio",1
"1034","management air gagal",1
"1035"," dananya ",1
"1036","headline berita suka ya modelnya",1
"1037","sooo stupiddd",1
"1038"," sih bela anis mati an orang kritik pemimpinnya mengandalkan beliau solusi penyelesaian aneh pendukung fanatik iklas kena banjir pas periode doang pendukungnya kena banjir",1
"1039"," bagus hahaha mengharap ",1
"1040","nyamber bae lo jualan sepatu kontol",1
"1041","bangkai nih orang",1
"1042","sok tau lo kontol gaji gue hidupin keluarga sipit lo ber ",1
"1043"," belo mata lo sipit sipit elah kimak",1
"1044","ueedaaaaaaan parah statement pejabat daerah disaat musibah miris",1
"1045","woooo",1
"1046"," kerjanya harap bersabar ujian",1
"1047","manusiaaa goblok woiii otak lo dimana pantat",1
"1048","coba kalo rumahnya n meubel nya rusak banjir menikmati",1
"1049","kasur kerendem air ",1
"1050","mudah an trak formula e tambahan wahana air dinikmatimantap",2
"1051","lo keluarga lo gue mah ogah bego",1
"1052"," dengki bos kalo kerja mmng bagus ng apresiasi jabaran amanah bos janji hutang mendingan kematian lo bilang anis",1
"1053"," hubungannya bambang dipikir avatar",2
"1054","jurusan nih manajemen air akuntansi air ya wkwkwkwk",2
"1055"," tiktokan",2
"1056"," alam bosan menjauh ",2
"1057","laaah",1
"1058","kur nggg kak rnaa i bada n kur nggg sih kak i sek rang ",1
"1059","semoga rumah beliau hanyut",1
"1060","enaknya diapakan ya ",1
"1061"," bego orang banjir suruh dinikmatidasar oon",1
"1062","kntl",1
"1063","wkwkwk bos",2
"1064"," kerjanya hahaha",2
"1065"," ketawa",2
"1066","sekda loh yaanda empati bego",1
"1067"," nya ngeles doang cari solusi nyuruh warga dki terbiasa kena banjirpejabat publik ",1
"1068"," asli seiman percaya kerja an trotoar hancur pendapatan iklan retribusi kamtib pedagang nya dibiarkan lepas tangan bidang",1
"1069"," banget",2
"1070","anjir kocak banget deh wkwkw",2
"1071","mata lu belo patokan sipit diameter muter bencong kluarin akun asli mabok kencing onta belagu",1
"1072"," mengakak takut ambien",2
"1073","mengakak dosa ya",2
"1074"," lalungapain tau problem jakarta banjir danmacet",1
"1075","ha ha ha betulbetul coba kalo kehabisan air klepek klepek santuy lihat anak bahagia main banjir",2
"1076","muantep bedanya kayak berenang cowok hamil wkwkw",2
"1077","main dikolom bocil disuruh dinikmati banjir nya",2
"1078","tolong sekda banjir dinikmati tolong suruh lihat daerah kali air meluap jaman ahok jarang banjir kali sungai banget dikerukin mesinnya ngerukin orang rumahnya dibantaran sungai dibuatkan rusun murah saran sih bagus amdal dijaman merepotkan rakyat jakartasekitarnya",1
"1079"," pas kuliah arsitek kuliah manajemen air mbak ojok emosi perantau",1
"1080"," pakk",1
"1081","kasih kesempatan surutnya hemmm suruh menikmati tuh ikan duyung warga jakarta semoga lekas surut kesehatan warga jakarta",1
"1082"," pejabat merasai rakyat mengomongnya suka banjir berlanjur bayi kakek nenek suruh menikmati air comberan",1
"1083","oh iya avatar muncul ditunggullah kali menemukan keperangkap dimana akwkw geger sih kalo benaran",2
"1084","rumah bebas banjir",1
"1085","statement publik",1
"1086"," namanya pemimpin menghargai mengerti perasaan orang bawahnyayg terdampak banjir",1
"1087","huusss buruan warga bekasi ",2
"1088"," kowe sayang karo gubernurmu lek golek rai koyok ngunu pisan sing ngomongo sing salah ngomongo salah",1
"1089","bahahha ndasmu njeblukk",2
"1090","semoga cepat surut menggangu aktivitas",2
"1091","endasmuh gue suapin feses",1
"1092"," sekolah dimana sih",1
"1093"," gendenk tenan",1
"1094"," ketemu jalanserempet dkit - deh",1
"1095","mah orang nya santuy banjir disuruh dinikmatin makanan enak dinikmatin bencana woy",1
"1096"," ampuh tanggungjawab nya berantakan tertangani ucapan maaf berikanlah bodoh sebodoh bodohnya bungkus kalimat rapi",2
"1097","punten slurrr rumah ngana kena banjir kagak kalo kagak ya bacot berguna kalo kena bnjir ya bodoamat sekda dki terhormat",1
"1098","lindes congornya",1
"1099","membela junjungan titik darah penghabisan segitu nya ya",1
"1100"," air banjir juragan",1
"1101","kasih mecin bang biar gurihnyoooyyy",2
"1102","setuju banget ",2
"1103","menikmati mam elaaaah",2
"1104","matamu",1
"1105"," seayat semayat seiman",2
"1106","disuruh dinikmati setuju",2
"1107"," nikmati kebebasan bromengina anis aman koktpi lupa kematian datangrugi kalo lo bawa dosa dengki orang",1
"1108","kalo manajemen air ngatasinnya ",1
"1109","otak lu nya tokai",1
"1110","pernyataan ya allaaaaahh",1
"1111"," gtuuu bambanggggg",2
"1112","banjir dinikmati apatapi usaha biar banjir kesempatan doang tuh singkat dipakai otaknya mengomong doang situ enak mengomong duit lancar kena dampak omong kosong kena dampak banjir uang bingung pemerintah jaman dibutakan jabatan doang kerja",1
"1113","kadrun otaknya seragambucin banget atasannya",1
"1114","ya lo kalimatnya lo untung ",1
"1115","haha ambyar",2
"1116","videonya min penasaran utuh",1
"1117","nontonin sosmed doang",1
"1118","najisssss",1
"1119","aka sd tong lu kgk baca",1
"1120","semoga rumah lu kebanjiran biar lu menikmati keluarga lu",1
"1121","lo minum noh air banjir",1
"1122","pitikih",1
"1123","",2
"1124","cocok twwa nikmati banjir jekardah nya",2
"1125","id coba mbak tidur genangan air ya tuh sekda",1
"1126","dimana bawahan komando atasan atasannya bahlul ya bawahannya beda",1
"1127","wkwkwkwk",2
"1128","kayaknya mulutnya habis diperkosa semalam puaskan nih kontol onta",1
"1129","kemana nih",1
"1130"," jaman jokowi ahok mengomongnya",1
"1131"," belon kelelep air banjir nih orang",1
"1132","kocak",1
"1133","muka nya manusia gua",1
"1134","berhubung pacar setuju",2
"1135"," menikmati buktinya tiktok",2
"1136","ya sih bapakk manajemen air keberlangsungan hidup orang terkena musibah ",1
"1137","ndasmu nikmati rumahmu kena banjir ",1
"1138","aka belajar ",1
"1139"," empatinya warga korban banjir yaooowoooh",1
"1140","kelelep dinikmati barangbarang hancur ya dinikmati ",1
"1141"," ilc pahami tonton ",2
"1142","jabingan matane kuwalik biangane tenan",1
"1143","sa fullah",2
"1144","ya allah komen capek ditabayunin mentah ngeyel aplgi menonton video sepotong doang",1
"1145"," komentar negatif takut kalo masuk surga woiiii",1
"1146","korban meninggal banjir tuh menikmatinya ",1
